eopch number: 73; eval psnr: 33.07; eval ssim: 0.9930; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 74; eval psnr: 33.11; eval ssim: 0.9931; runtime: 3.50 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 75; eval psnr: 33.08; eval ssim: 0.9931; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 76; eval psnr: 33.11; eval ssim: 0.9931; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 77; eval psnr: 33.10; eval ssim: 0.9930; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 78; eval psnr: 33.02; eval ssim: 0.9930; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 79; eval psnr: 33.10; eval ssim: 0.9931; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 80; eval psnr: 33.08; eval ssim: 0.9930; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 81; eval psnr: 33.09; eval ssim: 0.9931; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 82; eval psnr: 33.09; eval ssim: 0.9931; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 83; eval psnr: 33.10; eval ssim: 0.9931; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 84; eval psnr: 33.07; eval ssim: 0.9931; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 85; eval psnr: 33.15; eval ssim: 0.9931; runtime: 3.49 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 86; eval psnr: 33.12; eval ssim: 0.9931; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 87; eval psnr: 33.10; eval ssim: 0.9931; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 88; eval psnr: 33.08; eval ssim: 0.9931; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 89; eval psnr: 33.06; eval ssim: 0.9931; runtime: 3.49 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 90; eval psnr: 33.08; eval ssim: 0.9931; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 91; eval psnr: 33.11; eval ssim: 0.9931; runtime: 3.70 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 92; eval psnr: 33.11; eval ssim: 0.9931; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 93; eval psnr: 33.12; eval ssim: 0.9931; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 94; eval psnr: 33.10; eval ssim: 0.9931; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 95; eval psnr: 33.12; eval ssim: 0.9931; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 96; eval psnr: 33.13; eval ssim: 0.9931; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 97; eval psnr: 33.11; eval ssim: 0.9931; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 98; eval psnr: 33.02; eval ssim: 0.9931; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 99; eval psnr: 33.11; eval ssim: 0.9931; runtime: 3.66 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 100; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 101; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 102; eval psnr: 33.08; eval ssim: 0.9931; runtime: 3.66 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 103; eval psnr: 33.06; eval ssim: 0.9931; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 104; eval psnr: 33.12; eval ssim: 0.9931; runtime: 3.70 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 105; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 106; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 107; eval psnr: 33.14; eval ssim: 0.9932; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 108; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 109; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 110; eval psnr: 33.12; eval ssim: 0.9931; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 111; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 112; eval psnr: 33.13; eval ssim: 0.9932; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 113; eval psnr: 33.14; eval ssim: 0.9932; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 114; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 115; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 116; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.50 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 117; eval psnr: 33.14; eval ssim: 0.9932; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 118; eval psnr: 33.17; eval ssim: 0.9932; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 119; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.52 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 120; eval psnr: 33.09; eval ssim: 0.9932; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 121; eval psnr: 33.11; eval ssim: 0.9931; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 122; eval psnr: 33.09; eval ssim: 0.9932; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 123; eval psnr: 33.14; eval ssim: 0.9932; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 124; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 125; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 126; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 127; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 128; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 129; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 130; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 131; eval psnr: 33.10; eval ssim: 0.9931; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 132; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 133; eval psnr: 33.16; eval ssim: 0.9933; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 134; eval psnr: 33.10; eval ssim: 0.9932; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 135; eval psnr: 33.14; eval ssim: 0.9932; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 136; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 137; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 138; eval psnr: 33.18; eval ssim: 0.9932; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 139; eval psnr: 33.13; eval ssim: 0.9932; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 140; eval psnr: 33.10; eval ssim: 0.9932; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 141; eval psnr: 33.13; eval ssim: 0.9932; runtime: 3.52 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 142; eval psnr: 33.19; eval ssim: 0.9932; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 143; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.67 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 144; eval psnr: 33.12; eval ssim: 0.9933; runtime: 3.62 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 145; eval psnr: 33.13; eval ssim: 0.9932; runtime: 3.72 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 146; eval psnr: 33.12; eval ssim: 0.9933; runtime: 3.52 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 147; eval psnr: 33.15; eval ssim: 0.9933; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 148; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 149; eval psnr: 33.14; eval ssim: 0.9932; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 150; eval psnr: 33.14; eval ssim: 0.9933; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 151; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.52 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 152; eval psnr: 33.16; eval ssim: 0.9933; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 153; eval psnr: 33.12; eval ssim: 0.9933; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 154; eval psnr: 33.16; eval ssim: 0.9933; runtime: 3.49 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 155; eval psnr: 33.17; eval ssim: 0.9932; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 156; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.51 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 157; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.50 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 158; eval psnr: 33.18; eval ssim: 0.9933; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 159; eval psnr: 33.13; eval ssim: 0.9932; runtime: 3.67 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 160; eval psnr: 33.18; eval ssim: 0.9933; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 161; eval psnr: 33.18; eval ssim: 0.9933; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 162; eval psnr: 33.18; eval ssim: 0.9933; runtime: 3.69 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 163; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 164; eval psnr: 33.18; eval ssim: 0.9933; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 165; eval psnr: 33.06; eval ssim: 0.9932; runtime: 3.62 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 166; eval psnr: 33.16; eval ssim: 0.9932; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 167; eval psnr: 33.18; eval ssim: 0.9933; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 168; eval psnr: 33.16; eval ssim: 0.9933; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 169; eval psnr: 33.20; eval ssim: 0.9933; runtime: 3.62 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 170; eval psnr: 33.19; eval ssim: 0.9933; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 171; eval psnr: 33.15; eval ssim: 0.9932; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 172; eval psnr: 33.21; eval ssim: 0.9933; runtime: 3.52 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 173; eval psnr: 33.16; eval ssim: 0.9933; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 174; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.51 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 175; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.68 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 176; eval psnr: 33.17; eval ssim: 0.9932; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 177; eval psnr: 33.16; eval ssim: 0.9933; runtime: 3.69 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 178; eval psnr: 33.18; eval ssim: 0.9933; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 179; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.62 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 180; eval psnr: 33.11; eval ssim: 0.9933; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 181; eval psnr: 33.19; eval ssim: 0.9933; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 182; eval psnr: 33.19; eval ssim: 0.9933; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 183; eval psnr: 33.12; eval ssim: 0.9932; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 184; eval psnr: 33.12; eval ssim: 0.9933; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 185; eval psnr: 33.16; eval ssim: 0.9933; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 186; eval psnr: 33.21; eval ssim: 0.9933; runtime: 3.65 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 187; eval psnr: 33.19; eval ssim: 0.9933; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 188; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.59 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 189; eval psnr: 33.17; eval ssim: 0.9934; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 190; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 191; eval psnr: 33.19; eval ssim: 0.9933; runtime: 3.70 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 192; eval psnr: 33.21; eval ssim: 0.9933; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 193; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.67 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 194; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.72 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 195; eval psnr: 33.21; eval ssim: 0.9933; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 196; eval psnr: 33.17; eval ssim: 0.9933; runtime: 3.50 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 197; eval psnr: 33.15; eval ssim: 0.9933; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 198; eval psnr: 33.19; eval ssim: 0.9934; runtime: 3.52 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 199; eval psnr: 33.10; eval ssim: 0.9933; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
best epoch (psnr): 186, psnr: 33.21best epoch (ssim): 198, ssim: 0.9934
